0	382
0.15	380
0.4	360
0.55	360
0.75	380
0.85	380
1	360
1.2	340
1.3	320
1.32	300
1.35	280
1.42	280
1.5	300
1.65	280
1.68	260
1.71	240
1.82	220
2	200
2.1	200
2.35	200
2.48	200
2.51	200
2.7	180
2.78	160
2.86	140
3.1	140
3.15	150
3.28	160
3.37	150
3.45	140
3.8	130
4.36	140
4.8	150
4.96	140
5.15	140
5.35	160
5.41	180
5.8	200
5.9	200
6.03	180
6.7	180
6.85	180
7.1	180
7.45	180
7.73	160
7.95	140
8.45	140
8.7	160
8.95	160
9.05	140
9.15	140
9.45	160
9.7	160
10.5	160
11.92	160
14.88	160
15.58	140
16.55	140
16.81	160
17.6	180
17.78	200
18.05	215
18.15	200
18.3	180
18.45	160
18.57	140
18.65	140
18.77	160
18.85	180
18.95	200
19.02	220
19.13	240
19.15	260
19.21	280
19.29	300
19.37	320
19.47	320
19.66	300
19.95	300
20.15	300
20.4	310
20.7	300
20.75	280
20.8	260
21.07	260
21.13	260
21.4	240
21.6	220
21.7	200
21.82	200
21.88	220
22.2	220
22.68	240
22.8	240
22.9	240
23.05	220
23.08	220
23.28	220
23.74	200
23.78	200
23.89	220
23.93	220
24.04	200
24.05	180
24.1	160
24.2	140
24.53	120
24.6	120
24.89	120
24.95	101
25.45	101
25.96	120
26.3	140
26.34	160
26.38	180
26.41	200
26.5	220
26.59	240
26.63	249
26.79	240
26.84	220
26.93	200
27.19	180
27.2	200
27.26	220
27.28	240
27.45	260
27.58	240
27.65	220
27.69	200
27.72	180
27.75	160
27.85	140
27.98	140
28.05	140
28.19	140
28.32	140
28.4	140
28.47	160
28.51	180
28.6	180
28.64	180
28.68	200
28.8	220
28.85	220
28.9	200
28.99	200
29.05	200
29.09	180
29.35	160
29.38	140
29.46	120
30.65	101
30.85	105
30.9	101
31.1	105
31.3	101
31.35	101
31.5	120
31.6	120
32	110
34	110
34.05	101
34.55	101
35	120
35.18	140
35.4	140
35.65	140
35.74	140
35.82	140
36.05	140
36.26	140
36.65	140
36.75	140
36.94	160
37.04	180
37.32	200
37.4	200
37.54	180
37.59	180
37.7	200
37.85	220
37.92	240
38.15	260
38.25	280
38.35	280
38.53	300
39.05	280
39.15	260
39.2	240
39.43	240
39.48	240
39.65	220
39.85	200
39.92	180
40.1	160
40.15	160
40.48	180
40.55	200
40.6	220
40.69	220
40.75	240
40.8	260
40.85	260
40.9	280
41.15	300
41.24	300
41.36	300
41.45	320
41.68	340
41.73	340
41.8	320
41.95	300
42.03	280
42.1	260
42.6	240
42.85	220
42.9	200
42.95	200
43.05	220
43.1	240
43.25	260
43.45	260
43.75	280
43.85	280
44.1	299
44.16	280
44.19	260
44.57	260
44.65	280
44.72	280
44.79	300
44.83	320
44.94	320
45.05	300
45.45	293
45.59	293
45.65	300
45.81	300
46.45	280
46.65	265
46.85	260
47	240
47.08	220
47.15	200
47.2	200
47.3	200
47.47	180
47.65	160
47.67	149
48.6	149
48.71	160
49.45	180
49.5	180
49.7	180
49.93	200
50.1	220
50.35	222
50.4	222
50.75	220
50.85	220
50.98	200
51.15	200
51.43	220
51.55	240
51.7	240
51.73	260
51.79	280
51.85	300
51.95	320
52.07	330
52.16	340
52.4	350
